===== 08_APLICATIVOS_INSTALADOS =====

DisplayName                                                             DisplayVersion     Publisher                 
Microsoft Visual Studio Setup WMI Provider                              4.8.41.48107       Microsoft Corporation     
Microsoft Visual Studio Tools for Applications 2022                     17.0.33529         Microsoft Corporation     
Microsoft Visual Studio Tools for Applications 2022 x64 Hosting Support 17.0.33529         Microsoft Corporation     
Microsoft Visual Studio Tools for Applications 2022 x86 Hosting Support 17.0.33529         Microsoft Corporation     
Microsoft Windows Application Compatibility Fix Database                                                             
Microsoft Windows Desktop Runtime - 10.0.11 (x64)                       80.44.56884        Microsoft Corporation     
Microsoft Windows Desktop Runtime - 8.0.23 (x64)                        64.92.45458        Microsoft Corporation     
Microsoft Windows Desktop Runtime - 8.0.30 (x64)                        64.120.56881       Microsoft Corporation     
Microsoft Windows Desktop Runtime 10.0.11 (x64)                         10.0.11.50000      Microsoft Corporation     
Microsoft Windows Desktop Targeting Pack - 10.0.11 (x64)                80.44.56884        Microsoft Corporation     
Microsoft Windows Desktop Targeting Pack - 8.0.30 (x64)                 64.120.56881       Microsoft Corporation     
Microsoft.NET.Sdk.Android.Manifest-10.0.100 (x64)                       36.1.2             Microsoft Corporation     
Microsoft.NET.Sdk.Android.Manifest-8.0.100 (x64)                        34.0.43            Microsoft Corporation     
Microsoft.NET.Sdk.Aspire.Manifest-8.0.100 (x64)                         64.0.5426          Microsoft Corporation     
Microsoft.NET.Sdk.iOS.Manifest-10.0.100 (x64)                           26.0.11017         Microsoft Corporation     
Microsoft.NET.Sdk.iOS.Manifest-8.0.100 (x64)                            17.0.8478          Microsoft Corporation     
Microsoft.NET.Sdk.MacCatalyst.Manifest-10.0.100 (x64)                   26.0.11017         Microsoft Corporation     
Microsoft.NET.Sdk.MacCatalyst.Manifest-8.0.100 (x64)                    17.0.8478          Microsoft Corporation     
Microsoft.NET.Sdk.macOS.Manifest-10.0.100 (x64)                         26.0.11017         Microsoft Corporation     
Microsoft.NET.Sdk.macOS.Manifest-8.0.100 (x64)                          14.0.8478          Microsoft Corporation     
Microsoft.NET.Sdk.Maui.Manifest-10.0.100 (x64)                          10.0.0             Microsoft Corporation     
Microsoft.NET.Sdk.Maui.Manifest-8.0.100 (x64)                           8.0.3              Microsoft Corporation     
Microsoft.NET.Sdk.tvOS.Manifest-10.0.100 (x64)                          26.0.11017         Microsoft Corporation     
Microsoft.NET.Sdk.tvOS.Manifest-8.0.100 (x64)                           17.0.8478          Microsoft Corporation     
Microsoft.NET.Workload.Emscripten.Current.Manifest (x64)                64.120.56610       Microsoft Corporation     
Microsoft.NET.Workload.Emscripten.Current.Manifest-10.0.100 (x64)       81.188.56884       Microsoft Corporation     
Microsoft.NET.Workload.Emscripten.net6.Manifest (x64)                   64.120.56610       Microsoft Corporation     
Microsoft.NET.Workload.Emscripten.net6.Manifest-10.0.100 (x64)          81.188.56884       Microsoft Corporation     
Microsoft.NET.Workload.Emscripten.net7.Manifest (x64)                   64.120.56610       Microsoft Corporation     
Microsoft.NET.Workload.Emscripten.net7.Manifest-10.0.100 (x64)          81.188.56884       Microsoft Corporation     
Microsoft.NET.Workload.Emscripten.net8.Manifest-10.0.100 (x64)          81.188.56884       Microsoft Corporation     
Microsoft.NET.Workload.Emscripten.net9.Manifest-10.0.100 (x64)          81.188.56884       Microsoft Corporation     
Microsoft.NET.Workload.Mono.Toolchain.Current.Manifest (x64)            64.120.56788       Microsoft Corporation     
Microsoft.NET.Workload.Mono.Toolchain.Current.Manifest-10.0.100 (x64)   81.188.56884       Microsoft Corporation     
Microsoft.NET.Workload.Mono.Toolchain.net6.Manifest (x64)               64.120.56788       Microsoft Corporation     
Microsoft.NET.Workload.Mono.Toolchain.net6.Manifest-10.0.100 (x64)      81.188.56884       Microsoft Corporation     
Microsoft.NET.Workload.Mono.Toolchain.net7.Manifest (x64)               64.120.56788       Microsoft Corporation     
Microsoft.NET.Workload.Mono.Toolchain.net7.Manifest-10.0.100 (x64)      81.188.56884       Microsoft Corporation     
Microsoft.NET.Workload.Mono.Toolchain.net8.Manifest-10.0.100 (x64)      81.188.56884       Microsoft Corporation     
Microsoft.NET.Workload.Mono.Toolchain.net9.Manifest-10.0.100 (x64)      81.188.56884       Microsoft Corporation     
Mister Horse Product Manager                                            3.7.2              Mister Horse              
Mister Horse Product Manager                                            2.0.4                                        
MSI Development Tools                                                   10.1.26100.8249    Microsoft Corporation     
Node.js                                                                 26.7.0             Node.js Foundation        
NPP Development                                                         13.2               NVIDIA Corporation        
NPP Runtime                                                             13.2               NVIDIA Corporation        
nvcc                                                                    13.2               NVIDIA Corporation        
NVFATBIN Runtime                                                        13.2               NVIDIA Corporation        
NVIDIA AIUser Container                                                 1.51               NVIDIA Corporation        
NVIDIA App 11.0.9.239                                                   11.0.9.239         NVIDIA Corporation        
NVIDIA App driver settings                                              1.0                NVIDIA Corporation        
NVIDIA Backend                                                          11.0.9.239         NVIDIA Corporation        
NVIDIA Container                                                        1.51               NVIDIA Corporation        
NVIDIA Controlador gráfico 616.56                                       616.56             NVIDIA Corporation        
NVIDIA CUDA Development 13.2                                            13.2               NVIDIA Corporation        
NVIDIA CUDA Documentation 13.2                                          13.2               NVIDIA Corporation        
NVIDIA CUDA Runtime 13.2                                                13.2               NVIDIA Corporation        
NVIDIA CUDA Toolkit 13.2                                                13.2               NVIDIA Corporation        
NVIDIA CUDA Visual Studio Integration 13.2                              13.2               NVIDIA Corporation        
NVIDIA FrameView SDK 1.9.12728.38614306                                 1.9.12728.38614306 NVIDIA Corporation        
NVIDIA Install Application                                              2.1002.463.0       NVIDIA Corporation        
NVIDIA LocalSystem Container                                            1.51               NVIDIA Corporation        
NVIDIA MessageBus 3 for NvApp                                           3.21               NVIDIA Corporation        
NVIDIA Nsight Compute 2026.1.1                                          26.1.1.0           NVIDIA Corporation        
NVIDIA Nsight Systems 2025.6.3                                          25.6.3.541         NVIDIA Corporation        
NVIDIA Nsight Visual Studio Edition 2026.1.0.25345                      26.1.0.25345       NVIDIA Corporation        
NVIDIA NvDLISR                                                          1.0                NVIDIA Corporation        
NVIDIA O controlador de HD Audio 1.4.6.3                                1.4.6.3            NVIDIA Corporation        
NVIDIA O software do sistema PhysX 9.26.0703                            9.26.0703          NVIDIA Corporation        
NVIDIA Platform Controllers and Framework                               615.34             NVIDIA Corporation        
NVIDIA Project G-Assist                                                 0.2.2.0            NVIDIA Corporation        
NVIDIA Session Container                                                1.51               NVIDIA Corporation        
NVIDIA ShadowPlay 11.0.9.500                                            11.0.9.500         NVIDIA Corporation        
NVIDIA Telemetry Client                                                 19.8.1.0           NVIDIA Corporation        
NVIDIA USBC Driver 1.52.831.832                                         1.52.831.832       NVIDIA Corporation        
NVIDIA User Container                                                   1.51               NVIDIA Corporation        
NVIDIA Virtual Audio 4.92.0.0                                           4.92.0.0           NVIDIA Corporation        
NVIDIA Watchdog Plugin for NvContainer                                  1.51               NVIDIA Corporation        
NVJITLINK Runtime                                                       13.2               NVIDIA Corporation        
NVJPEG Development                                                      13.2               NVIDIA Corporation        
NVJPEG Runtime                                                          13.2               NVIDIA Corporation        
NVML Development                                                        13.2               NVIDIA Corporation        
nvprune                                                                 13.2               NVIDIA Corporation        
NVRTC Development                                                       13.2               NVIDIA Corporation        
NVRTC Runtime                                                           13.2               NVIDIA Corporation        
NVTX Development                                                        13.2               NVIDIA Corporation        
NVVM Development                                                        13.2               NVIDIA Corporation        
Occupancy Calculator                                                    13.2               NVIDIA Corporation        
Ollama version 0.33.2                                                   0.33.2             Ollama                    
OPENCL Runtime                                                          13.2               NVIDIA Corporation        
Opera GX Stable 134.0.5954.67                                           134.0.5954.67      Opera Software            
Outbyte Camomile                                                        2.5.6.54374        Outbyte Computing Pty Ltd 
Pale Moon 34.3.2 (x64 en-US)                                            34.3.2             Moonchild Productions     
PawnIO                                                                  2.2.0.0            namazso                   
Python 3.11.9 (64-bit)                                                  3.11.9150.0        Python Software Foundation
Python 3.11.9 Add to Path (64-bit)                                      3.11.9150.0        Python Software Foundation
Python 3.11.9 Core Interpreter (64-bit)                                 3.11.9150.0        Python Software Foundation
Python 3.11.9 Development Libraries (64-bit)                            3.11.9150.0        Python Software Foundation
Python 3.11.9 Documentation (64-bit)                                    3.11.9150.0        Python Software Foundation
Python 3.11.9 Executables (64-bit)                                      3.11.9150.0        Python Software Foundation
Python 3.11.9 pip Bootstrap (64-bit)                                    3.11.9150.0        Python Software Foundation
Python 3.11.9 Standard Library (64-bit)                                 3.11.9150.0        Python Software Foundation
Python 3.11.9 Tcl/Tk Support (64-bit)                                   3.11.9150.0        Python Software Foundation
