===== 07_FERRAMENTAS_COMANDOS_INSTALADOS =====

Name                                            CommandType Source                                    Version     
Disable-PhysicalDiskIndication                        Alias VMDirectStorage                           1.0.0.0     
Disable-PhysicalDiskIndication                        Alias Storage                                   2.0.0.0     
Disable-PnpDevice                                  Function PnpDevice                                 1.0.0.0     
Disable-PSBreakpoint                                 Cmdlet Microsoft.PowerShell.Utility              3.1.0.0     
Disable-PSRemoting                                   Cmdlet Microsoft.PowerShell.Core                 3.0.0.0     
Disable-PSSessionConfiguration                       Cmdlet Microsoft.PowerShell.Core                 3.0.0.0     
Disable-PSTrace                                    Function PSDiagnostics                             1.0.0.0     
Disable-PSWSManCombinedTrace                       Function PSDiagnostics                             1.0.0.0     
Disable-ReFSDedup                                    Cmdlet Microsoft.ReFsDedup.Commands              2.0.0.0     
Disable-RunspaceDebug                                Cmdlet Microsoft.PowerShell.Utility              3.1.0.0     
Disable-ScheduledJob                                 Cmdlet PSScheduledJob                            1.1.0.0     
Disable-ScheduledTask                              Function ScheduledTasks                            1.0.0.0     
Disable-SmbDelegation                              Function SmbShare                                  2.0.0.0     
Disable-StorageBusCache                            Function StorageBusCache                           1.0.0.0     
Disable-StorageBusDisk                             Function StorageBusCache                           1.0.0.0     
Disable-StorageDataCollection                      Function Storage                                   2.0.0.0     
Disable-StorageDiagnosticLog                          Alias VMDirectStorage                           1.0.0.0     
Disable-StorageDiagnosticLog                          Alias Storage                                   2.0.0.0     
Disable-StorageEnclosureIdentification             Function Storage                                   2.0.0.0     
Disable-StorageEnclosurePower                      Function Storage                                   2.0.0.0     
Disable-StorageHighAvailability                    Function Storage                                   2.0.0.0     
Disable-StorageMaintenanceMode                     Function Storage                                   2.0.0.0     
Disable-TlsCipherSuite                               Cmdlet TLS                                       2.0.0.0     
Disable-TlsEccCurve                                  Cmdlet TLS                                       2.0.0.0     
Disable-TlsSessionTicketKey                          Cmdlet TLS                                       2.0.0.0     
Disable-TpmAutoProvisioning                          Cmdlet TrustedPlatformModule                     2.0.0.0     
Disable-Uev                                          Cmdlet UEV                                       2.1.639.0   
Disable-UevAppxPackage                               Cmdlet UEV                                       2.1.639.0   
Disable-UevTemplate                                  Cmdlet UEV                                       2.1.639.0   
Disable-WdacBidTrace                               Function Wdac                                      1.0.0.0     
Disable-WindowsErrorReporting                        Cmdlet WindowsErrorReporting                     1.0         
Disable-WindowsOptionalFeature                       Cmdlet Dism                                      3.0         
Disable-WSManCredSSP                                 Cmdlet Microsoft.WSMan.Management                3.0.0.0     
Disable-WSManTrace                                 Function PSDiagnostics                             1.0.0.0     
Disconnect-IscsiTarget                             Function iSCSI                                     1.0.0.0     
Disconnect-PSSession                                 Cmdlet Microsoft.PowerShell.Core                 3.0.0.0     
Disconnect-VirtualDisk                             Function Storage                                   2.0.0.0     
Disconnect-WSMan                                     Cmdlet Microsoft.WSMan.Management                3.0.0.0     
Dismount-AppPackageVolume                             Alias Appx                                      2.0.1.0     
Dismount-AppxVolume                                  Cmdlet Appx                                      2.0.1.0     
Dismount-DiskImage                                 Function Storage                                   2.0.0.0     
Dismount-MsixPackageVolume                            Alias Appx                                      2.0.1.0     
Dismount-MsixVolume                                   Alias Appx                                      2.0.1.0     
Dismount-WindowsImage                                Cmdlet Dism                                      3.0         
Download-WindowsUpdate                                Alias PSWindowsUpdate                           2.2.1.5     
E:                                                 Function                                                       
Edit-CIPolicyRule                                    Cmdlet ConfigCI                                  1.0         
Enable-AppBackgroundTaskDiagnosticLog                Cmdlet AppBackgroundTask                         1.0.0.0     
Enable-Appv                                          Cmdlet AppvClient                                1.0.0.0     
Enable-AppvClientConnectionGroup                     Cmdlet AppvClient                                1.0.0.0     
Enable-BcdElementBootDebug                           Cmdlet Microsoft.Windows.Bcd.Cmdlets             1.0.0       
Enable-BcdElementBootEms                             Cmdlet Microsoft.Windows.Bcd.Cmdlets             1.0.0       
Enable-BcdElementDebug                               Cmdlet Microsoft.Windows.Bcd.Cmdlets             1.0.0       
Enable-BcdElementEms                                 Cmdlet Microsoft.Windows.Bcd.Cmdlets             1.0.0       
Enable-BcdElementEventLogging                        Cmdlet Microsoft.Windows.Bcd.Cmdlets             1.0.0       
Enable-BcdElementHypervisorDebug                     Cmdlet Microsoft.Windows.Bcd.Cmdlets             1.0.0       
Enable-BCDistributed                               Function BranchCache                               1.0.0.0     
Enable-BCDowngrading                               Function BranchCache                               1.0.0.0     
Enable-BCHostedClient                              Function BranchCache                               1.0.0.0     
Enable-BCHostedServer                              Function BranchCache                               1.0.0.0     
Enable-BCLocal                                     Function BranchCache                               1.0.0.0     
Enable-BCServeOnBattery                            Function BranchCache                               1.0.0.0     
Enable-BitLocker                                   Function BitLocker                                 1.0.0.0     
Enable-BitLockerAutoUnlock                         Function BitLocker                                 1.0.0.0     
Enable-ComputerRestore                               Cmdlet Microsoft.PowerShell.Management           3.1.0.0     
Enable-DAManualEntryPointSelection                 Function DirectAccessClientComponents              1.0.0.0     
Enable-DeliveryOptimizationVerboseLogs             Function DeliveryOptimization                      1.0.3.0     
Enable-DscDebug                                    Function PSDesiredStateConfiguration               1.1         
Enable-JobTrigger                                    Cmdlet PSScheduledJob                            1.1.0.0     
Enable-LocalUser                                     Cmdlet Microsoft.PowerShell.LocalAccounts        1.0.0.0     
Enable-MMAgent                                     Function MMAgent                                   1.0         
Enable-NetAdapter                                  Function NetAdapter                                2.0.0.0     
Enable-NetAdapterBinding                           Function NetAdapter                                2.0.0.0     
Enable-NetAdapterChecksumOffload                   Function NetAdapter                                2.0.0.0     
Enable-NetAdapterEncapsulatedPacketTaskOffload     Function NetAdapter                                2.0.0.0     
Enable-NetAdapterIPsecOffload                      Function NetAdapter                                2.0.0.0     
Enable-NetAdapterLso                               Function NetAdapter                                2.0.0.0     
Enable-NetAdapterPacketDirect                      Function NetAdapter                                2.0.0.0     
Enable-NetAdapterPowerManagement                   Function NetAdapter                                2.0.0.0     
Enable-NetAdapterQos                               Function NetAdapter                                2.0.0.0     
Enable-NetAdapterRdma                              Function NetAdapter                                2.0.0.0     
Enable-NetAdapterRsc                               Function NetAdapter                                2.0.0.0     
Enable-NetAdapterRss                               Function NetAdapter                                2.0.0.0     
Enable-NetAdapterSriov                             Function NetAdapter                                2.0.0.0     
Enable-NetAdapterUro                               Function NetAdapter                                2.0.0.0     
Enable-NetAdapterUso                               Function NetAdapter                                2.0.0.0     
Enable-NetAdapterVmq                               Function NetAdapter                                2.0.0.0     
Enable-NetDnsTransitionConfiguration               Function NetworkTransition                         1.0.0.0     
Enable-NetFirewallHyperVRule                       Function NetSecurity                               2.0.0.0     
Enable-NetFirewallRule                             Function NetSecurity                               2.0.0.0     
Enable-NetIPHttpsProfile                           Function NetworkTransition                         1.0.0.0     
Enable-NetIPsecMainModeRule                        Function NetSecurity                               2.0.0.0     
Enable-NetIPsecRule                                Function NetSecurity                               2.0.0.0     
Enable-NetNatTransitionConfiguration               Function NetworkTransition                         1.0.0.0     
Enable-NetworkSwitchEthernetPort                   Function NetworkSwitchManager                      1.0.0.0     
Enable-NetworkSwitchFeature                        Function NetworkSwitchManager                      1.0.0.0     
Enable-NetworkSwitchVlan                           Function NetworkSwitchManager                      1.0.0.0     
Enable-OdbcPerfCounter                             Function Wdac                                      1.0.0.0     
Enable-PhysicalDiskIdentification                  Function Storage                                   2.0.0.0     
Enable-PhysicalDiskIndication                         Alias VMDirectStorage                           1.0.0.0     
Enable-PhysicalDiskIndication                         Alias Storage                                   2.0.0.0     
Enable-PnpDevice                                   Function PnpDevice                                 1.0.0.0     
Enable-PSBreakpoint                                  Cmdlet Microsoft.PowerShell.Utility              3.1.0.0     
Enable-PSRemoting                                    Cmdlet Microsoft.PowerShell.Core                 3.0.0.0     
Enable-PSSessionConfiguration                        Cmdlet Microsoft.PowerShell.Core                 3.0.0.0     
Enable-PSTrace                                     Function PSDiagnostics                             1.0.0.0     
Enable-PSWSManCombinedTrace                        Function PSDiagnostics                             1.0.0.0     
Enable-ReFSDedup                                     Cmdlet Microsoft.ReFsDedup.Commands              2.0.0.0     
Enable-RunspaceDebug                                 Cmdlet Microsoft.PowerShell.Utility              3.1.0.0     
Enable-ScheduledJob                                  Cmdlet PSScheduledJob                            1.1.0.0     
Enable-ScheduledTask                               Function ScheduledTasks                            1.0.0.0     
Enable-SmbDelegation                               Function SmbShare                                  2.0.0.0     
Enable-StorageBusCache                             Function StorageBusCache                           1.0.0.0     
Enable-StorageBusDisk                              Function StorageBusCache                           1.0.0.0     
Enable-StorageDataCollection                       Function Storage                                   2.0.0.0     
Enable-StorageDiagnosticLog                           Alias Storage                                   2.0.0.0     
Enable-StorageDiagnosticLog                           Alias VMDirectStorage                           1.0.0.0     
Enable-StorageEnclosureIdentification              Function Storage                                   2.0.0.0     
Enable-StorageEnclosurePower                       Function Storage                                   2.0.0.0     
Enable-StorageHighAvailability                     Function Storage                                   2.0.0.0     
Enable-StorageMaintenanceMode                      Function Storage                                   2.0.0.0     
Enable-TlsCipherSuite                                Cmdlet TLS                                       2.0.0.0     
Enable-TlsEccCurve                                   Cmdlet TLS                                       2.0.0.0     
Enable-TlsSessionTicketKey                           Cmdlet TLS                                       2.0.0.0     
Enable-TpmAutoProvisioning                           Cmdlet TrustedPlatformModule                     2.0.0.0     
Enable-Uev                                           Cmdlet UEV                                       2.1.639.0   
Enable-UevAppxPackage                                Cmdlet UEV                                       2.1.639.0   
Enable-UevTemplate                                   Cmdlet UEV                                       2.1.639.0   
Enable-WdacBidTrace                                Function Wdac                                      1.0.0.0     
Enable-WindowsErrorReporting                         Cmdlet WindowsErrorReporting                     1.0         
Enable-WindowsOptionalFeature                        Cmdlet Dism                                      3.0         
Enable-WSManCredSSP                                  Cmdlet Microsoft.WSMan.Management                3.0.0.0     
Enable-WSManTrace                                  Function PSDiagnostics                             1.0.0.0     
Enable-WURemoting                                    Cmdlet PSWindowsUpdate                           2.2.1.5     
Enter-PSHostProcess                                  Cmdlet Microsoft.PowerShell.Core                 3.0.0.0     
Enter-PSSession                                      Cmdlet Microsoft.PowerShell.Core                 3.0.0.0     
Exit-PSHostProcess                                   Cmdlet Microsoft.PowerShell.Core                 3.0.0.0     
Exit-PSSession                                       Cmdlet Microsoft.PowerShell.Core                 3.0.0.0     
Expand-Archive                                     Function Microsoft.PowerShell.Archive              1.0.1.0     
Expand-OsImage                                       Cmdlet Dism                                      3.0         
Expand-WindowsCustomDataImage                        Cmdlet Dism                                      3.0         
Expand-WindowsImage                                  Cmdlet Dism                                      3.0         
Export-Alias                                         Cmdlet Microsoft.PowerShell.Utility              3.1.0.0     
Export-BCCachePackage                              Function BranchCache                               1.0.0.0     
Export-BcdStore                                      Cmdlet Microsoft.Windows.Bcd.Cmdlets             1.0.0       
Export-BCSecretKey                                 Function BranchCache                               1.0.0.0     
Export-BinaryMiLog                                   Cmdlet CimCmdlets                                1.0.0.0     
Export-Certificate                                   Cmdlet PKI                                       1.0.0.0     
Export-Clixml                                        Cmdlet Microsoft.PowerShell.Utility              3.1.0.0     
Export-Console                                       Cmdlet Microsoft.PowerShell.Core                 3.0.0.0     
Export-Counter                                       Cmdlet Microsoft.PowerShell.Diagnostics          3.0.0.0     
Export-Csv                                           Cmdlet Microsoft.PowerShell.Utility              3.1.0.0     
Export-FormatData                                    Cmdlet Microsoft.PowerShell.Utility              3.1.0.0     
Export-ModuleMember                                  Cmdlet Microsoft.PowerShell.Core                 3.0.0.0     
Export-ODataEndpointProxy                          Function Microsoft.PowerShell.ODataUtils           1.0         
Export-OsImage                                       Cmdlet Dism                                      3.0         
Export-PfxCertificate                                Cmdlet PKI                                       1.0.0.0     
Export-ProvisioningPackage                           Cmdlet Provisioning                              3.0         
Export-PSSession                                     Cmdlet Microsoft.PowerShell.Utility              3.1.0.0     
Export-ScheduledTask                               Function ScheduledTasks                            1.0.0.0     
Export-StartLayout                                   Cmdlet StartLayout                               1.0.0.1     
